isin,date
COB12CD01W37,2018Q4
COB12CD021Q3,2018Q4
COB12CD026S8,2018Q4
COB12CD027E6,2018Q4
COB13CD00MF5,2018Q4
COB13CD00MO7,2018Q4
COB13CD01F29,2018Q4
COB13CD01JH5,2018Q4
COB13CD01KG5,2018Q4
COB13CD01KI1,2018Q4
COB13CD01N78,2018Q4
COB13CD01W85,2018Q4
COB13CD01ZK5,2018Q4
COB13CD028K0,2018Q4
COB13CD029Z6,2018Q4
COB13CD02A49,2018Q4
COB13CD02GV0,2018Q4
COB13CD02GW8,2018Q4
COB13CD02GX6,2018Q4
COB13CD02KD0,2018Q4
COB13CD02N85,2018Q4
COB13CD036Z1,2018Q4
COB13CD03GX4,2018Q4
COB13CD03GY2,2018Q4
COB13CD03GZ9,2018Q4
COB13CD03NN1,2018Q4
COB13CD03NQ4,2018Q4
COB13CD03NR2,2018Q4
COB13CD03OR0,2018Q4
COB13CD03OS8,2018Q4
COB13CD03PK2,2018Q4
COB13CD03TT5,2018Q4
COB13CD03UX5,2018Q4
COB13CD05J21,2018Q4
COB13CD05YV6,2018Q4
COB13CD06AW2,2018Q4
COB13CD06M74,2018Q4
COB13CD06OL6,2018Q4
COB13CD078T6,2018Q4
COB13CD07CG9,2018Q4
